,idade,qx_mil,dx,lx,Lx,Tx,expx,ano
1183,13,0.3868964121119263,37.51430394818112,96962.1396678357,96943.38251586161,6022040.157996126,62.10712942830983,2008
1184,14,0.5243263376162635,50.82013384187554,96924.62536388752,96899.21529696658,5925096.775480265,61.130974231114806,2008
1185,15,0.7434047548897015,72.01644743227477,96873.80523004565,96837.7970063295,5828197.5601833,60.162781325076615,2008
1186,16,0.9169704582584038,88.76438062022619,96801.78878261337,96757.40659230325,5731359.76317697,59.20716791760757,2008
1187,17,1.0797585728836896,104.42671720756157,96713.02440199314,96660.81104338936,5634602.356584666,58.26105006461305,2008
1188,18,1.2202562421503944,117.88724437025574,96608.59768478558,96549.65406260046,5537941.545541276,57.32348546876196,2008
1189,19,1.3413434391714094,129.4271813902393,96490.71044041532,96425.99684972019,5441391.891478677,56.39290939658726,2008
1190,20,1.465320719875679,141.20018495325883,96361.28325902508,96290.68316654845,5344965.894628957,55.46798168161956,2008
1191,21,1.58842707079673,152.83858470916593,96220.08307407182,96143.66378171725,5248675.211462408,54.54864560262217,2008
1192,22,1.6823498685536964,161.61871613899507,96067.24448936265,95986.43513129315,5152531.547680691,53.63463452156392,2008
1193,23,1.7384884020271163,166.7308180959022,95905.62577322366,95822.2603641757,5056545.112549398,52.72417620741034,2008
1194,24,1.7670609581830228,169.17646345479181,95738.89495512775,95654.30672340035,4960722.852185223,51.81512544624925,2008
1195,25,1.7855767359101484,170.64706599621314,95569.71849167296,95484.39495867485,4865068.545461823,50.905962916336506,2008
1196,26,1.809810112762664,172.6542042143575,95399.07142567675,95312.74432356958,4769584.150503148,49.99612762708097,2008
1197,27,1.842528361269216,175.45737447259978,95226.4172214624,95138.6885342261,4674271.406179578,49.08586863358414,2008
1198,28,1.8909630435945264,179.73785232884495,95050.9598469898,94961.09092082537,4579132.717645354,48.17555472366302,2008
1199,29,1.953254383737456,185.30763025160087,94871.22199466095,94778.56817953516,4484171.626724528,47.26587823414863,2008
1200,30,2.021403669115777,191.39845470979932,94685.91436440936,94590.21513705446,4389393.0585449925,46.357402661307376,2008
1201,31,2.09294016970683,197.77136816441134,94494.51590969956,94395.63022561735,4294802.843407938,45.45028673951956,2008
1202,32,2.1744834991420596,205.0467150283823,94296.74454153515,94194.22118402096,4200407.21318232,44.54456231341215,2008
1203,33,2.267438043242141,213.3470952050653,94091.69782650677,93985.02427890424,4106212.991998299,43.64054520059398,2008
1204,34,2.372760478566681,222.75084040825416,93878.3507313017,93766.97531109757,4012227.9677193947,42.738586015461436,2008
1205,35,2.4905122227857706,233.25041626060386,93655.59989089346,93538.97468276316,3918460.992408297,41.83904643153438,2008
1206,36,2.6221280391132398,244.96536203727086,93422.34947463285,93299.86679361422,3824922.0177255333,40.94225888382439,2008
1207,37,2.770171992796547,258.11737983075824,93177.38411259558,93048.32542268021,3731622.1509319195,40.048582458836,2008
1208,38,2.936270243267378,272.8360779336418,92919.26673276482,92782.848693798,3638573.8255092395,39.15844316737618,2008
1209,39,3.12094613162491,289.14451936105087,92646.43065483119,92501.85839515066,3545790.976815441,38.272289086083,2008
1210,40,3.322085522608832,306.81880317808674,92357.28613547013,92203.87673388109,3453289.1184202903,37.390543431029236,2008
1211,41,3.541671492026416,326.0125159784876,92050.46733229204,91887.46107430279,3361085.2416864093,36.51350546166444,2008
1212,42,3.784889479968151,347.16692409007914,91724.45481631355,91550.87135426851,3269197.7806121064,35.64150680599812,2008
1213,43,4.05411329759491,370.45387794202145,91377.28789222347,91192.06095325245,3177646.909257838,34.77501885376341,2008
1214,44,4.348180743630264,395.7141631996543,91006.83401428144,90808.97693268162,3086454.8483045856,33.91453929515048,2008
1215,45,4.671404931862806,423.28123215395533,90611.11985108179,90399.47923500481,2995645.871371904,33.06046626832567,2008
1216,46,5.016434703187358,452.42140345345064,90187.83861892784,89961.62791720111,2905246.3921368993,32.21328326108895,2008
1217,47,5.371214515166994,481.98817547232215,89735.41721547439,89494.42312773824,2815284.7642196976,31.373172951985975,2008
1218,48,5.730774683437354,511.4912915524162,89253.42904000207,88997.68339422587,2725790.3410919593,30.539894885946627,2008
1219,49,6.104725989054617,541.7452136920275,88741.93774844965,88471.06514160364,2636792.6576977335,29.713039004986108,2008
1220,50,6.501052065564187,573.3940438612449,88200.19253475762,87913.495512827,2548321.5925561297,28.89247199264215,2008
1221,51,6.940098168845591,608.1385837484714,87626.79849089637,87322.72919902214,2460408.097043303,28.07826075374552,2008
1222,52,7.44058483647359,647.4697213953771,87018.6599071479,86694.92504645021,2373085.367844281,27.270994179598375,2008
1223,53,8.016461623199644,692.3913314741628,86371.19018575252,86024.99452001543,2286390.4427978303,26.471679247219463,2008
1224,54,8.660782875386948,742.0454739008568,85678.79885427836,85307.77611732793,2200365.4482778157,25.681562740161368,2008
1225,55,9.360934540866106,795.0873885074017,84936.7533803775,84539.2096861238,2115057.6721604876,24.90156013720579,2008
1226,56,10.101559647543379,849.962057860548,84141.6659918701,83716.68496293982,2030518.4624743646,24.13213998722769,2008
1227,57,10.879486443442214,906.1709638012595,83291.70393400955,82838.61845210893,1946801.7775114246,23.37329752617186,2008
1228,58,11.689497202980005,963.0454572212669,82385.5329702083,81904.01024159766,1863963.1590593157,22.62488439242542,2008
1229,59,12.542259476434651,1021.2219656046437,81422.48751298703,80911.8765301847,1782059.1488177183,21.88657216513407,2008
1230,60,13.461246130061909,1082.3012247017812,80401.26554738238,79860.1149350315,1701147.2722875339,21.158215118952416,2008
1231,61,14.459640244970814,1146.9236887096367,79318.96432268061,78745.5024783258,1621287.1573525022,20.440094890257015,2008
1232,62,15.534238190904624,1214.34309907718,78172.04063397097,77564.86908443239,1542541.6548741763,19.732651755848355,2008
1233,63,16.693208592143392,1284.6708977210615,76957.6975348938,76315.36208603327,1464976.785789744,19.03613066289439,2008
1234,64,17.94903131965752,1358.2575251638912,75673.02663717273,74993.8978745908,1388661.4237037108,18.350811186156005,2008
1235,65,19.280697255514426,1432.8405648620972,74314.76911200884,73598.3488295778,1313667.5258291203,17.677072021163546,2008
1236,66,20.731349975281,1510.9407675843222,72881.92854714674,72126.45816335457,1240069.1769995424,17.01476897935476,2008
1237,67,22.386094811834383,1597.7176992475574,71370.98777956242,70572.12892993864,1167942.7188361879,16.364390562219967,2008
1238,68,24.295578789848182,1695.1819806616465,69773.27008031486,68925.67908998404,1097370.5899062487,15.727664600542349,2008
1239,69,26.443491600374433,1800.2223508327306,68078.08809965322,67177.97692423686,1028444.9108162645,15.10684185652833,2008
1240,70,28.766255785435554,1906.5660390433286,66277.86574882049,65324.582729298825,961266.9338920276,14.503589139925417,2008
1241,71,31.234438886354756,2010.6014268202605,64371.299709777166,63365.99899636704,895942.3511627287,13.918351116136416,2008
1242,72,33.89174834741744,2113.513092975202,62360.6982829569,61303.9417364693,832576.3521663616,13.350978662692487,2008
1243,73,36.746245668992316,2213.8578678563426,60247.1851899817,59140.25625605353,771272.4104298924,12.801799918083885,2008
1244,74,39.811749889596626,2310.4083126095493,58033.327322125355,56878.12316582058,712132.1541738389,12.271089510704941,2008
1245,75,43.09697904169337,2401.48947269508,55722.919009515805,54522.17427316826,655254.0310080183,11.759147630010563,2008
1246,76,46.629406658315986,2486.346621475155,53321.429536820724,52078.25622608315,600731.8567348501,11.266236894868303,2008
1247,77,50.44990694098179,2564.6252024162777,50835.08291534557,49552.77031413744,548653.6005087668,10.792814116629383,2008
1248,78,54.59639816392352,2635.3931288499207,48270.457712929296,46952.76114850433,499100.8301946293,10.33967469632973,2008
1249,79,59.091269509275705,2696.6339004110373,45635.06458407937,44286.747633873856,452148.069046125,9.90790904246611,2008
1250,80,62.335281652637434,2676.5791703887153,42938.43068366834,41600.14109847398,407861.32141225116,9.498747739921047,2008
1251,81,65.7703946187653,2648.0378621105338,40261.851513279624,38937.83258222436,366261.1803137771,9.096978070990419,2008
1252,82,69.41956164463551,2611.1344554471652,37613.81365116909,36308.24642344551,327323.34773155284,8.702211128261364,2008
1253,83,73.30930546130995,2566.022101123417,35002.679195721925,33719.66814516022,291015.1013081074,8.314080750243702,2008
1254,84,77.47044773731285,2512.8823482202315,32436.657094598508,31180.215920488394,257295.43316294727,7.932242598630586,2008
1255,85,81.93902224958046,2451.9248447349237,29923.774746378276,28697.812324010814,226115.2172424589,7.5563734575239705,2008
1256,86,86.75742765591595,2383.3870304160046,27471.849901643352,26280.156386435352,197417.40491844804,7.186170775730637,2008
1257,87,91.97589581672632,2307.5338472458134,25088.462871227348,23934.695947604443,171137.2485320127,6.821352484224176,2008
1258,88,97.65438008079647,2224.6575015015405,22780.929023981535,21668.600273230764,147202.55258440823,6.461657135643931,2008
1259,89,103.86500884172983,2135.0773234353837,20556.271522479994,19488.732860762302,125533.95231117745,6.1068444330430065,2008
1260,90,110.6953092203357,2039.1397880710974,18421.19419904461,17401.624305009063,106045.21945041516,5.756696243716656,2008
1261,91,118.25249371424638,1937.2187862600877,16382.054410973513,15413.445017843469,88643.59514540609,5.411018235052876,2008
1262,92,126.66923467415265,1829.716273576385,14444.835624713425,13529.977487925233,73230.15012756262,5.069642329627787,2008
1263,93,136.11155278665169,1717.0634834722005,12615.11935113704,11756.58760940094,59700.17263963741,4.732430267039562,2008
1264,94,146.78975798117563,1599.722983279853,10898.05586766484,10098.194376024912,47943.58503023646,4.399278698183943,2008
1265,95,158.9738739200662,1478.1919996290244,9298.332884384987,8559.236884570475,37845.39065421155,4.070126454363301,2008
1266,96,173.01576837702925,1353.0076839926742,7820.140884755962,7143.637042759625,29286.15376964108,3.744964982245968,2008
1267,97,189.38150275051044,1224.75540404827,6467.133200763288,5854.755498739153,22142.516726881455,3.423853512754008,2008
1268,98,208.69954775995106,1094.081875361233,5242.377796715018,4695.336859034402,16287.761228142293,3.106941517711398,2008
1269,99,231.83405739423947,961.7162747194229,4148.295921353785,3667.4377839940735,11592.424369107892,2.7945027521866703,2008
1270,100,259.9982048515823,828.5049877415236,3186.5796466343622,2772.3271527636007,7924.98658511382,2.486988390038869,2008
1271,101,294.9315419177003,695.4705951043202,2358.0746588928387,2010.3393613406786,5152.6594323502195,2.185112932246807,2008
1272,102,339.17628089905725,563.9158629634487,1662.6040637885185,1380.6461323067942,3142.3200710095402,1.8899990319097644,2008
1273,103,396.4864576361857,435.6149927918061,1098.6882008250698,880.8807044291667,1761.6739387027462,1.603433929098175,2008
1274,104,472.3151750349363,313.1795383132077,663.0732080332637,506.4834388766598,880.7932342735796,1.3283499070729967,2008
1275,105,573.7970602325044,200.76795907933095,349.893669720056,249.50969018039052,374.30979539691975,1.069781558770122,2008
1276,106,706.315960986508,105.32986961899962,149.12571064072503,96.46077583122522,124.80010521652935,0.8368785280574378,2008
1277,107,857.3462801664961,37.548201386739514,43.79584102172541,25.02174032835565,28.339329385304122,0.6470780951836519,2008
1278,108,969.0217381096847,6.054098618176988,6.2476396349858945,3.2205903258974007,3.3175890569484707,0.531014791309416,2008
